Ticker,average_returns,volatility,max_drawdown,cluster
AAPL,0.27537997311154633,0.25552608757644835,-0.333605265159296,0
ADBE,-0.046014518559848644,0.3397808682870742,-0.6449839267808908,2
AMD,0.6153179274626029,0.5322143896543134,-0.6300028513679348,1
AMZN,0.3825653554073847,0.31949800435184017,-0.3087663843187606,0
ASML,0.3775572519589702,0.39992838400136094,-0.4548233917413864,0
AVGO,0.7399110082286594,0.4690193689952004,-0.4114967673858133,1
CRM,0.13939062913865907,0.3399952600201427,-0.5470081505538652,2
GOOGL,0.45411831760815147,0.29973633228527086,-0.2980587872952391,0
INTC,0.4419464236034379,0.5515536908899389,-0.6380454883388952,1
META,0.5811087251678267,0.3843743710266124,-0.34150809624994427,0
MSFT,0.20529889235432017,0.24348431986643929,-0.3391009686588169,0
MU,0.8362814268856077,0.5369610210646629,-0.576289672506246,1
NOW,0.10535676354504624,0.3892704195219189,-0.6454173439572124,2
NVDA,0.9216218044048847,0.4899123723847094,-0.36881026403302364,1
ORCL,0.3378870532322201,0.45130330167294735,-0.5824985699540268,2
PANW,0.3599542164830957,0.3953767287692838,-0.3600596483682511,0
QCOM,0.1537519958100511,0.3556710978815723,-0.4423405648479634,0
SNOW,0.16707458978694037,0.539186783385328,-0.5630006703868291,2
TSLA,0.546446121723488,0.5845031824633553,-0.5376568011858521,1
TXN,0.25182547606712935,0.335432566512446,-0.3341197662238495,0
